time,temp_CA_dmean,temp_CA_dmax,precip_CA_dsum,wind_CA_dmean,wind_CA_dmax,gust_CA_dmean,gust_CA_dmax,humid_CA_dmean,humid_CA_dmax,humid_CA_dmin
14/02/2000,8.236549,12.475983,0.07552095,1.3824958,2.925327,8.159938,10.930233,0.002338409,0.003219605,-0.000305176
15/02/2000,9.592635,15.97052,0.012987759,1.0490981,2.3947837,5.4148583,8.64056,0.000722885,0.003219605,-0.000305176
16/02/2000,8.491324,15.368622,2.4130921,1.3938214,2.7092328,7.2602983,13.571259,-0.000305176,-0.000305176,-0.000305176
17/02/2000,5.0526032,8.592041,6.2414727,2.1190927,4.801267,11.104157,18.18927,-0.000305176,-0.000305176,-0.000305176
18/02/2000,5.4954376,13.538605,0,1.9271523,3.0205464,6.223683,9.420595,-0.000305176,-0.000305176,-0.000305176
19/02/2000,9.611698,16.221985,0,2.701257,3.445566,7.7913895,9.8207,-0.000305176,-0.000305176,-0.000305176
20/02/2000,9.245522,16.004608,3.929883,1.9830467,2.947988,10.230085,17.411755,-0.000305176,-0.000305176,-0.000305176
21/02/2000,6.19819,9.301025,8.083919,2.4843624,3.2895527,12.862636,17.88751,-0.000305176,-0.000305176,-0.000305176
22/02/2000,5.6789017,9.6822815,0.30873317,1.2585975,2.9646037,6.066429,9.469347,-0.000305176,-0.000305176,-0.000305176
23/02/2000,6.2924867,8.684509,0.6002507,1.6359482,3.1663804,6.7969775,10.270397,-0.000305176,-0.000305176,-0.000305176
24/02/2000,3.4434955,7.2925415,2.004362,1.6345283,3.4296708,8.770041,15.492768,-0.000305176,-0.000305176,-0.000305176
25/02/2000,4.7743683,10.227386,0.000603497,1.261193,3.2836578,7.012369,9.305439,-0.000305176,-0.000305176,-0.000305176
26/02/2000,7.429629,14.541229,0,1.1880611,1.9300253,4.3128905,6.756035,-0.000305176,-0.000305176,-0.000305176
27/02/2000,8.080531,13.968536,0.29212022,1.5560421,3.6760788,6.836519,13.938581,-0.000305176,-0.000305176,-0.000305176
28/02/2000,5.4163527,10.013245,1.8874512,1.571184,2.8812788,8.893708,14.657256,0.000135422,0.003219605,-0.000305176
29/02/2000,6.2903266,12.162842,0,1.6297994,3.2030764,5.251161,11.134489,-0.000305176,-0.000305176,-0.000305176
